control_number_001,080_udc_number,udc_label_en
NBA01-003491184,821.174.09,Latvian literature: history and criticism
NBA01-003491274,792,Theatre. Stagecraft. Performing arts
NBA01-003491284,75,Painting. Drawing
NBA01-003491288,791,Cinema. Films
NBA01-003491291,791,Cinema. Films
NBA01-003491344,75,Painting. Drawing
NBA01-003491384,791,Cinema. Films
NBA01-003491531,82.09,Literary studies. History and criticism of literature
NBA01-003491598,791,Cinema. Films
NBA01-003491644,791,Cinema. Films
NBA01-003491653,791,Cinema. Films
NBA01-003491792,791,Cinema. Films
NBA01-003491800,7,Applied sciences
NBA01-003491827,821.174.09,Latvian literature: history and criticism
NBA01-003491833,792,Theatre. Stagecraft. Performing arts
NBA01-003491864,792,Theatre. Stagecraft. Performing arts
NBA01-003491888,658,
NBA01-003491997,791,Cinema. Films
NBA01-003492018,75,Painting. Drawing
NBA01-003492037,61,
NBA01-003492046,78,Music
NBA01-003492051,77,Photography and similar processes
NBA01-003492053,75,Painting. Drawing
NBA01-003492068,793.3,Indoor games and sport
NBA01-003492118,821.174.09,Latvian literature: history and criticism
NBA01-003492120,394,Customs. Etiquette. Ceremonies
NBA01-003492133,792,Theatre. Stagecraft. Performing arts
NBA01-003492150,791,Cinema. Films
NBA01-003492158,791,Cinema. Films
NBA01-003492168,791,Cinema. Films
NBA01-003492171,791,Cinema. Films
NBA01-003492189,82.09,Literary studies. History and criticism of literature
NBA01-003492268,658,
NBA01-003492287,658,
NBA01-003492317,792,Theatre. Stagecraft. Performing arts
NBA01-003492483,792,Theatre. Stagecraft. Performing arts
NBA01-003492490,791,Cinema. Films
NBA01-003492507,7,Applied sciences
NBA01-003492514,791,Cinema. Films
NBA01-003492647,77,Photography and similar processes
NBA01-003492659,75,Painting. Drawing
NBA01-003492664,36,
NBA01-003492670,338.48,
NBA01-003492682,793.3,Indoor games and sport
NBA01-003492718,658,
NBA01-003492730,336,
NBA01-003492738,658,
NBA01-003492759,791,Cinema. Films
NBA01-003492767,792,Theatre. Stagecraft. Performing arts
NBA01-003492787,791,Cinema. Films
NBA01-003492802,82.09,Literary studies. History and criticism of literature
NBA01-003492872,77,Photography and similar processes
NBA01-003492952,75,Painting. Drawing
NBA01-003493045,7,Applied sciences
NBA01-003493118,658,
NBA01-003493345,328,
NBA01-003493381,791,Cinema. Films
NBA01-003493443,327,
NBA01-003493475,792,Theatre. Stagecraft. Performing arts
NBA01-003493486,78,Music
NBA01-003493580,658,
NBA01-003493584,792,Theatre. Stagecraft. Performing arts
NBA01-003493608,791,Cinema. Films
NBA01-003493629,77,Photography and similar processes
NBA01-003493644,75,Painting. Drawing
NBA01-003493665,745/749,Decorative arts. Applied arts
NBA01-003493748,75,Painting. Drawing
NBA01-003493751,791,Cinema. Films
NBA01-003493756,791,Cinema. Films
NBA01-003493774,82.09,Literary studies. History and criticism of literature
NBA01-003493775,791,Cinema. Films
NBA01-003493798,791,Cinema. Films
NBA01-003493801,338.48,
NBA01-003493833,327,
NBA01-003493841,338.48,
NBA01-003493877,791,Cinema. Films
NBA01-003493883,792,Theatre. Stagecraft. Performing arts
NBA01-003493884,76,
NBA01-003493889,792,Theatre. Stagecraft. Performing arts
NBA01-003493894,791,Cinema. Films
NBA01-003493910,77,Photography and similar processes
NBA01-003493919,792,Theatre. Stagecraft. Performing arts
NBA01-003493928,73,Plastic arts
NBA01-003493947,791,Cinema. Films
NBA01-003493949,7,Applied sciences
NBA01-003493950,7,Applied sciences
NBA01-003493961,75,Painting. Drawing
NBA01-003493993,664,
NBA01-003494047,792,Theatre. Stagecraft. Performing arts
NBA01-003494059,792,Theatre. Stagecraft. Performing arts
NBA01-003494063,94,
NBA01-003494125,77,Photography and similar processes
NBA01-003494163,327,
NBA01-003494192,793.3,Indoor games and sport
NBA01-003494395,339,
NBA01-003494457,791,Cinema. Films
NBA01-003494515,338.48,
NBA01-003494536,338.48,
NBA01-003494587,791,Cinema. Films
NBA01-003494621,745/749,Decorative arts. Applied arts
NBA01-003494625,791,Cinema. Films
NBA01-003494628,791,Cinema. Films
NBA01-003494629,821.174.09,Latvian literature: history and criticism
NBA01-003494647,791,Cinema. Films
NBA01-003494681,792,Theatre. Stagecraft. Performing arts
NBA01-003494694,904,
NBA01-003494778,339,
NBA01-003494789,338.48,
NBA01-003494851,7,Applied sciences
NBA01-003494855,75,Painting. Drawing
NBA01-003494971,339,
NBA01-003494985,339,
NBA01-003495038,77,Photography and similar processes
NBA01-003495079,82.09,Literary studies. History and criticism of literature
NBA01-003495085,791,Cinema. Films
NBA01-003495099,791,Cinema. Films
NBA01-003495144,791,Cinema. Films
NBA01-003495145,793.3,Indoor games and sport
NBA01-003495162,792,Theatre. Stagecraft. Performing arts
NBA01-003495183,338.48,
NBA01-003495200,75,Painting. Drawing
NBA01-003495210,821.174.09,Latvian literature: history and criticism
NBA01-003495220,792,Theatre. Stagecraft. Performing arts
NBA01-003495221,78,Music
NBA01-003495227,75,Painting. Drawing
NBA01-003495230,792,Theatre. Stagecraft. Performing arts
NBA01-003495236,792,Theatre. Stagecraft. Performing arts
NBA01-003495252,791,Cinema. Films
NBA01-003495264,658,
NBA01-003495442,7,Applied sciences
NBA01-003495490,75,Painting. Drawing
NBA01-003495497,,
NBA01-003495534,821.174.09,Latvian literature: history and criticism
NBA01-003495547,791,Cinema. Films
NBA01-003495550,792,Theatre. Stagecraft. Performing arts
NBA01-003495554,338.48,
NBA01-003495555,791,Cinema. Films
NBA01-003495562,791,Cinema. Films
NBA01-003495616,338.43,
NBA01-003495691,76,
NBA01-003495703,75,Painting. Drawing
NBA01-003495731,792,Theatre. Stagecraft. Performing arts
NBA01-003495779,77,Photography and similar processes
NBA01-003495794,792,Theatre. Stagecraft. Performing arts
NBA01-003495813,791,Cinema. Films
NBA01-003495840,821.174.09,Latvian literature: history and criticism
NBA01-003495905,7,Applied sciences
NBA01-003495907,7,Applied sciences
NBA01-003495936,338.48,
NBA01-003495975,354,
NBA01-003496088,745/749,Decorative arts. Applied arts
NBA01-003496129,78,Music
NBA01-003496230,791,Cinema. Films
NBA01-003496284,75,Painting. Drawing
NBA01-003496402,791,Cinema. Films
NBA01-003496456,793.3,Indoor games and sport
NBA01-003496490,77,Photography and similar processes
NBA01-003496572,338.48,
NBA01-003496589,7,Applied sciences
NBA01-003496624,793.3,Indoor games and sport
NBA01-003496649,793.3,Indoor games and sport
NBA01-003496689,77,Photography and similar processes
NBA01-003496777,61,
NBA01-003496806,336,
NBA01-003496817,338.48,
NBA01-003496891,73,Plastic arts
NBA01-003496956,75,Painting. Drawing
NBA01-003496973,68,
NBA01-003496993,793.3,Indoor games and sport
NBA01-003497050,791,Cinema. Films
NBA01-003497117,75,Painting. Drawing
NBA01-003497129,793.3,Indoor games and sport
NBA01-003497135,75,Painting. Drawing
NBA01-003497137,76,
NBA01-003497238,745/749,Decorative arts. Applied arts
NBA01-003497241,791,Cinema. Films
NBA01-003497243,75,Painting. Drawing
NBA01-003497290,338.48,
NBA01-003497308,73,Plastic arts
NBA01-003497348,76,
NBA01-003497367,73,Plastic arts
NBA01-003497390,741/744,
NBA01-003497441,75,Painting. Drawing
NBA01-003497448,792,Theatre. Stagecraft. Performing arts
NBA01-003497451,792,Theatre. Stagecraft. Performing arts
NBA01-003497452,77,Photography and similar processes
NBA01-003497464,75,Painting. Drawing
NBA01-003497466,636,
NBA01-003497479,75,Painting. Drawing
NBA01-003497499,75,Painting. Drawing
NBA01-003497511,791,Cinema. Films
NBA01-003497512,77,Photography and similar processes
NBA01-003497556,77,Photography and similar processes
NBA01-003497558,75,Painting. Drawing
NBA01-003497569,7,Applied sciences
NBA01-003497571,68,
NBA01-003497587,7,Applied sciences
NBA01-003497592,791,Cinema. Films
NBA01-003497601,75,Painting. Drawing
NBA01-003497606,7,Applied sciences
NBA01-003497615,75,Painting. Drawing
NBA01-003497631,75,Painting. Drawing
NBA01-003497644,7,Applied sciences
NBA01-003497645,77,Photography and similar processes
NBA01-003497674,7,Applied sciences
NBA01-003497702,75,Painting. Drawing
NBA01-003497703,328,
NBA01-003497723,002,
NBA01-003497744,339,
NBA01-003497755,75,Painting. Drawing
NBA01-003497761,793.3,Indoor games and sport
NBA01-003497790,338.48,
NBA01-003497792,792,Theatre. Stagecraft. Performing arts
NBA01-003497800,791,Cinema. Films
NBA01-003497842,82.09,Literary studies. History and criticism of literature
NBA01-003497885,791,Cinema. Films
NBA01-003497895,791,Cinema. Films
NBA01-003497899,791,Cinema. Films
NBA01-003497905,791,Cinema. Films
NBA01-003497927,338.48,
NBA01-003497960,338.48,
NBA01-003498005,792,Theatre. Stagecraft. Performing arts
NBA01-003498013,75,Painting. Drawing
NBA01-003498029,75,Painting. Drawing
NBA01-003498045,77,Photography and similar processes
NBA01-003498051,821.174.09,Latvian literature: history and criticism
NBA01-003498056,791,Cinema. Films
NBA01-003498062,791,Cinema. Films
NBA01-003498168,791,Cinema. Films
NBA01-003498189,82.09,Literary studies. History and criticism of literature
NBA01-003498198,069,Museums
NBA01-003498209,7,Applied sciences
NBA01-003498308,75,Painting. Drawing
NBA01-003498348,31,
NBA01-003498409,7,Applied sciences
NBA01-003498527,77,Photography and similar processes
NBA01-003498559,75,Painting. Drawing
NBA01-003498630,745/749,Decorative arts. Applied arts
NBA01-003498631,793.3,Indoor games and sport
NBA01-003498650,792,Theatre. Stagecraft. Performing arts
NBA01-003498684,75,Painting. Drawing
NBA01-003498783,791,Cinema. Films
NBA01-003498809,75,Painting. Drawing
NBA01-003498947,02,
NBA01-003499057,323,
NBA01-003499148,77,Photography and similar processes
NBA01-003499176,792,Theatre. Stagecraft. Performing arts
NBA01-003499180,94(474.3),Latvia (geographic area)
NBA01-003499197,77,Photography and similar processes
NBA01-003499242,77,Photography and similar processes
NBA01-003499256,77,Photography and similar processes
NBA01-003499283,75,Painting. Drawing
NBA01-003499347,663,
NBA01-003499357,338.48,
NBA01-003499378,791,Cinema. Films
NBA01-003499422,338.48,
NBA01-003499433,791,Cinema. Films
NBA01-003499442,791,Cinema. Films
NBA01-003499446,821.174.09,Latvian literature: history and criticism
NBA01-003499454,792,Theatre. Stagecraft. Performing arts
NBA01-003499456,75,Painting. Drawing
NBA01-003499459,792,Theatre. Stagecraft. Performing arts
NBA01-003499461,791,Cinema. Films
NBA01-003499463,792,Theatre. Stagecraft. Performing arts
NBA01-003499467,7,Applied sciences
NBA01-003499481,791,Cinema. Films
NBA01-003499485,73,Plastic arts
NBA01-003499492,791,Cinema. Films
NBA01-003499505,75,Painting. Drawing
NBA01-003499514,791,Cinema. Films
NBA01-003499532,791,Cinema. Films
NBA01-003499537,77,Photography and similar processes
NBA01-003499563,13,
NBA01-003499728,636,
NBA01-003499822,31,
NBA01-003499835,791,Cinema. Films
NBA01-003499845,792,Theatre. Stagecraft. Performing arts
NBA01-003499851,76,
NBA01-003499957,68,
NBA01-003499998,7,Applied sciences
NBA01-003500012,791,Cinema. Films
NBA01-003500062,791,Cinema. Films
NBA01-003500068,791,Cinema. Films
NBA01-003500121,328,
NBA01-003500211,77,Photography and similar processes
NBA01-003500230,791,Cinema. Films
NBA01-003500252,793.3,Indoor games and sport
NBA01-003500269,791,Cinema. Films
NBA01-003500271,354,
NBA01-003500281,792,Theatre. Stagecraft. Performing arts
NBA01-003500313,338.48,
NBA01-003500442,75,Painting. Drawing
NBA01-003500515,75,Painting. Drawing
NBA01-003500538,791,Cinema. Films
NBA01-003500563,792,Theatre. Stagecraft. Performing arts
NBA01-003500578,791,Cinema. Films
NBA01-003500595,82.09,Literary studies. History and criticism of literature
NBA01-003500652,821.174.09,Latvian literature: history and criticism
NBA01-003500658,655,
NBA01-003500659,821.174.09,Latvian literature: history and criticism
NBA01-003500671,821.174.09,Latvian literature: history and criticism
NBA01-003500679,821.174.09,Latvian literature: history and criticism
NBA01-003500693,791,Cinema. Films
NBA01-003500694,821.174.09,Latvian literature: history and criticism
NBA01-003500699,655,
NBA01-003500701,821.174.09,Latvian literature: history and criticism
NBA01-003500710,82.09,Literary studies. History and criticism of literature
NBA01-003500717,82.09,Literary studies. History and criticism of literature
NBA01-003500724,14,
NBA01-003500730,82.09,Literary studies. History and criticism of literature
NBA01-003500735,821.174.09,Latvian literature: history and criticism
NBA01-003500744,82.09,Literary studies. History and criticism of literature
NBA01-003500757,82.09,Literary studies. History and criticism of literature
NBA01-003500777,378,
NBA01-003500783,37.09,
NBA01-003500787,791,Cinema. Films
NBA01-003500826,77,Photography and similar processes
NBA01-003500839,338.48,
NBA01-003500851,76,
NBA01-003500896,77,Photography and similar processes
NBA01-003500925,77,Photography and similar processes
NBA01-003500927,75,Painting. Drawing
NBA01-003500951,75,Painting. Drawing
NBA01-003500971,792,Theatre. Stagecraft. Performing arts
NBA01-003500979,791,Cinema. Films
NBA01-003500996,354,
NBA01-003500997,821.174.09,Latvian literature: history and criticism
NBA01-003501003,77,Photography and similar processes
NBA01-003501052,77,Photography and similar processes
NBA01-003501063,791,Cinema. Films
NBA01-003501083,659,
NBA01-003501091,37.09,
NBA01-003501138,77,Photography and similar processes
NBA01-003501171,328,
NBA01-003501238,792,Theatre. Stagecraft. Performing arts
NBA01-003501247,82.09,Literary studies. History and criticism of literature
NBA01-003501263,75,Painting. Drawing
NBA01-003501266,791,Cinema. Films
NBA01-003501275,78,Music
NBA01-003501302,64,
NBA01-003501306,37.09,
NBA01-003501338,338.48,
NBA01-003501347,7,Applied sciences
NBA01-003501357,37.09,
NBA01-003501360,77,Photography and similar processes
NBA01-003501431,636,
NBA01-003501441,374,
NBA01-003501454,792,Theatre. Stagecraft. Performing arts
NBA01-003501455,791,Cinema. Films
NBA01-003501461,791,Cinema. Films
NBA01-003501469,82.09,Literary studies. History and criticism of literature
NBA01-003501510,338.48,
NBA01-003501530,2,Religion. Theology
NBA01-003501546,792,Theatre. Stagecraft. Performing arts
NBA01-003501563,338.48,
NBA01-003501596,656,
NBA01-003501599,68,
NBA01-003501629,791,Cinema. Films
NBA01-003501641,7,Applied sciences
NBA01-003501658,793.3,Indoor games and sport
NBA01-003501680,793.3,Indoor games and sport
NBA01-003501681,745/749,Decorative arts. Applied arts
NBA01-003501688,37.09,
NBA01-003501690,908,
NBA01-003501698,77,Photography and similar processes
NBA01-003501708,77,Photography and similar processes
NBA01-003501777,77,Photography and similar processes
NBA01-003501830,745/749,Decorative arts. Applied arts
NBA01-003501839,792,Theatre. Stagecraft. Performing arts
NBA01-003501871,793.3,Indoor games and sport
NBA01-003501892,664,
NBA01-003501947,77,Photography and similar processes
NBA01-003502013,7,Applied sciences
NBA01-003502068,793.3,Indoor games and sport
NBA01-003502071,75,Painting. Drawing
NBA01-003502091,77,Photography and similar processes
NBA01-003502101,7,Applied sciences
NBA01-003502114,821.174.09,Latvian literature: history and criticism
NBA01-003502118,791,Cinema. Films
NBA01-003502123,791,Cinema. Films
NBA01-003502144,791,Cinema. Films
NBA01-003502147,791,Cinema. Films
NBA01-003502186,76,
NBA01-003502245,791,Cinema. Films
NBA01-003502252,338.48,
NBA01-003502320,791,Cinema. Films
NBA01-003502330,792,Theatre. Stagecraft. Performing arts
NBA01-003502335,791,Cinema. Films
NBA01-003502362,821.174.09,Latvian literature: history and criticism
NBA01-003502368,002,
NBA01-003502380,793.3,Indoor games and sport
NBA01-003502388,2,Religion. Theology
NBA01-003502393,7,Applied sciences
NBA01-003502410,793.3,Indoor games and sport
NBA01-003502423,75,Painting. Drawing
NBA01-003502429,7,Applied sciences
NBA01-003502466,75,Painting. Drawing
NBA01-003502493,37.09,
NBA01-003502519,76,
NBA01-003502538,374,
NBA01-003502542,76,
NBA01-003502546,821.19-3,
NBA01-003502565,75,Painting. Drawing
NBA01-003502573,7,Applied sciences
NBA01-003502599,68,
NBA01-003502606,78,Music
NBA01-003502625,338.48,
NBA01-003502637,75,Painting. Drawing
NBA01-003502640,793.3,Indoor games and sport
NBA01-003502655,793.3,Indoor games and sport
NBA01-003502671,338.48,
NBA01-003502683,82.09,Literary studies. History and criticism of literature
NBA01-003502693,821.174.09,Latvian literature: history and criticism
NBA01-003502727,73,Plastic arts
NBA01-003502736,791,Cinema. Films
NBA01-003502791,821.174.09,Latvian literature: history and criticism
NBA01-003502795,73,Plastic arts
NBA01-003502798,7,Applied sciences
NBA01-003502803,908,
NBA01-003502855,791,Cinema. Films
NBA01-003502899,76,
NBA01-003502905,328,
NBA01-003502917,73,Plastic arts
NBA01-003502919,792,Theatre. Stagecraft. Performing arts
NBA01-003502922,792,Theatre. Stagecraft. Performing arts
NBA01-003502926,61,
NBA01-003502932,02,
NBA01-003502939,7,Applied sciences
NBA01-003502952,792,Theatre. Stagecraft. Performing arts
NBA01-003503006,792,Theatre. Stagecraft. Performing arts
NBA01-003503014,7,Applied sciences
NBA01-003503051,633/635,
NBA01-003503088,655,
NBA01-003503171,004,
NBA01-003503245,7,Applied sciences
NBA01-003503253,82.09,Literary studies. History and criticism of literature
NBA01-003503260,7,Applied sciences
NBA01-003503284,7,Applied sciences
NBA01-003503289,77,Photography and similar processes
NBA01-003503298,7,Applied sciences
NBA01-003503310,791,Cinema. Films
NBA01-003503311,070,
NBA01-003503367,793.3,Indoor games and sport
NBA01-003503403,7,Applied sciences
NBA01-003503424,791,Cinema. Films
NBA01-003503433,7,Applied sciences
NBA01-003503574,82.09,Literary studies. History and criticism of literature
NBA01-003503594,655,
NBA01-003503597,7,Applied sciences
NBA01-003503603,75,Painting. Drawing
NBA01-003503643,791,Cinema. Films
NBA01-003503663,82.09,Literary studies. History and criticism of literature
NBA01-003503702,792,Theatre. Stagecraft. Performing arts
NBA01-003503705,68,
NBA01-003503762,7,Applied sciences
NBA01-003503763,792,Theatre. Stagecraft. Performing arts
NBA01-003503794,73,Plastic arts
NBA01-003503819,77,Photography and similar processes
NBA01-003503909,77,Photography and similar processes
NBA01-003503917,338.48,
NBA01-003503929,76,
NBA01-003503930,793.3,Indoor games and sport
NBA01-003503934,73,Plastic arts
NBA01-003503971,61,
NBA01-003504012,72,
NBA01-003504021,791,Cinema. Films
NBA01-003504028,792,Theatre. Stagecraft. Performing arts
NBA01-003504042,791,Cinema. Films
NBA01-003504051,791,Cinema. Films
NBA01-003504058,7,Applied sciences
NBA01-003504062,75,Painting. Drawing
NBA01-003504077,745/749,Decorative arts. Applied arts
NBA01-003504180,7,Applied sciences
NBA01-003504228,77,Photography and similar processes
NBA01-003504230,791,Cinema. Films
NBA01-003504256,77,Photography and similar processes
NBA01-003504283,338.48,
NBA01-003504294,791,Cinema. Films
NBA01-003504329,793.3,Indoor games and sport
NBA01-003504339,75,Painting. Drawing
NBA01-003504353,68,
NBA01-003504367,793.3,Indoor games and sport
NBA01-003504369,636,
NBA01-003504373,745/749,Decorative arts. Applied arts
NBA01-003504396,75,Painting. Drawing
NBA01-003504485,338.48,
NBA01-003504527,338.48,
NBA01-003504587,69,
NBA01-003504600,336,
NBA01-003504637,77,Photography and similar processes
NBA01-003504648,338.48,
NBA01-003504649,75,Painting. Drawing
NBA01-003504676,629,
NBA01-003504727,793.3,Indoor games and sport
NBA01-003504736,75,Painting. Drawing
NBA01-003504769,36,
NBA01-003504798,745/749,Decorative arts. Applied arts
NBA01-003504802,745/749,Decorative arts. Applied arts
NBA01-003504835,379.8,
NBA01-003504847,32,
NBA01-003504882,338.48,
NBA01-003504927,77,Photography and similar processes
NBA01-003504937,353,
NBA01-003504950,792,Theatre. Stagecraft. Performing arts
NBA01-003505056,791,Cinema. Films
NBA01-003505088,791,Cinema. Films
NBA01-003505151,791,Cinema. Films
NBA01-003505153,338.48,
NBA01-003505162,02,
NBA01-003505194,821.174.09,Latvian literature: history and criticism
NBA01-003505218,664,
NBA01-003505219,68,
NBA01-003505231,745/749,Decorative arts. Applied arts
NBA01-003505249,793.3,Indoor games and sport
NBA01-003505308,77,Photography and similar processes
NBA01-003505343,77,Photography and similar processes
NBA01-003505379,821.174.09,Latvian literature: history and criticism
NBA01-003505428,69,
NBA01-003505447,791,Cinema. Films
NBA01-003505538,68,
NBA01-003505550,792,Theatre. Stagecraft. Performing arts
NBA01-003505589,791,Cinema. Films
NBA01-003505598,821.174.09,Latvian literature: history and criticism
NBA01-003505628,745/749,Decorative arts. Applied arts
NBA01-003505638,7,Applied sciences
NBA01-003505658,793.3,Indoor games and sport
NBA01-003505660,793.3,Indoor games and sport
NBA01-003505664,,
NBA01-003505670,7,Applied sciences
NBA01-003505674,792,Theatre. Stagecraft. Performing arts
NBA01-003505682,78,Music
NBA01-003505684,745/749,Decorative arts. Applied arts
NBA01-003505686,629,
NBA01-003505721,339,
NBA01-003505743,793.3,Indoor games and sport
NBA01-003505771,7,Applied sciences
NBA01-003505773,73,Plastic arts
NBA01-003505774,7,Applied sciences
NBA01-003505784,791,Cinema. Films
NBA01-003505786,7,Applied sciences
NBA01-003505792,821.174.09,Latvian literature: history and criticism
NBA01-003505798,82.09,Literary studies. History and criticism of literature
NBA01-003505802,69,
NBA01-003505804,792,Theatre. Stagecraft. Performing arts
NBA01-003505807,792,Theatre. Stagecraft. Performing arts
NBA01-003505830,792,Theatre. Stagecraft. Performing arts
NBA01-003505839,78,Music
NBA01-003505875,73,Plastic arts
NBA01-003505879,792,Theatre. Stagecraft. Performing arts
NBA01-003505884,792,Theatre. Stagecraft. Performing arts
NBA01-003505913,629,
NBA01-003505934,791,Cinema. Films
NBA01-003505937,791,Cinema. Films
NBA01-003505995,7,Applied sciences
NBA01-003505998,791,Cinema. Films
NBA01-003506011,398,
NBA01-003506107,7,Applied sciences
NBA01-003506109,73,Plastic arts
NBA01-003506124,75,Painting. Drawing
NBA01-003506142,791,Cinema. Films
NBA01-003506167,792,Theatre. Stagecraft. Performing arts
NBA01-003506193,77,Photography and similar processes
NBA01-003506208,75,Painting. Drawing
NBA01-003506216,793.3,Indoor games and sport
NBA01-003506220,791,Cinema. Films
NBA01-003506237,77,Photography and similar processes
NBA01-003506269,69,
NBA01-003506327,821.174.09,Latvian literature: history and criticism
NBA01-003506330,793.3,Indoor games and sport
NBA01-003506373,792,Theatre. Stagecraft. Performing arts
NBA01-003506374,68,
NBA01-003506387,792,Theatre. Stagecraft. Performing arts
NBA01-003506389,792,Theatre. Stagecraft. Performing arts
NBA01-003506395,793.3,Indoor games and sport
NBA01-003506455,75,Painting. Drawing
NBA01-003506510,7,Applied sciences
NBA01-003506525,791,Cinema. Films
NBA01-003506552,338.48,
NBA01-003506561,793.3,Indoor games and sport
NBA01-003506596,793.3,Indoor games and sport
NBA01-003506611,69,
NBA01-003506643,338.48,
NBA01-003506700,791,Cinema. Films
NBA01-003506733,2,Religion. Theology
NBA01-003506746,791,Cinema. Films
NBA01-003506761,36,
NBA01-003506771,31,
NBA01-003506779,793.3,Indoor games and sport
NBA01-003506800,791,Cinema. Films
NBA01-003506844,908,
NBA01-003506885,793.3,Indoor games and sport
NBA01-003506922,908,
NBA01-003506956,793.3,Indoor games and sport
NBA01-003506957,31,
NBA01-003506964,73,Plastic arts
NBA01-003506996,929,
NBA01-003507009,94,
NBA01-003507023,338.48,
NBA01-003507030,374,
NBA01-003507048,78,Music
NBA01-003507056,69,
NBA01-003507066,78,Music
NBA01-003507074,792,Theatre. Stagecraft. Performing arts
NBA01-003507197,7,Applied sciences
NBA01-003507219,792,Theatre. Stagecraft. Performing arts
NBA01-003507225,821.174.09,Latvian literature: history and criticism
NBA01-003507240,61,
NBA01-003507251,69,
NBA01-003507266,636,
NBA01-003507339,792,Theatre. Stagecraft. Performing arts
NBA01-003507357,791,Cinema. Films
NBA01-003507370,338.48,
NBA01-003507373,82.09,Literary studies. History and criticism of literature
NBA01-003507377,745/749,Decorative arts. Applied arts
NBA01-003507416,327,
NBA01-003507426,792,Theatre. Stagecraft. Performing arts
NBA01-003507434,7,Applied sciences
NBA01-003507438,7,Applied sciences
NBA01-003507452,7,Applied sciences
NBA01-003507462,793.3,Indoor games and sport
NBA01-003507583,791,Cinema. Films
NBA01-003507589,75,Painting. Drawing
NBA01-003507599,792,Theatre. Stagecraft. Performing arts
NBA01-003507637,373,
NBA01-003507657,75,Painting. Drawing
NBA01-003507689,793.3,Indoor games and sport
NBA01-003507696,792,Theatre. Stagecraft. Performing arts
NBA01-003507716,02,
NBA01-003507718,791,Cinema. Films
NBA01-003507734,821.174.09,Latvian literature: history and criticism
NBA01-003507740,821.174.09,Latvian literature: history and criticism
NBA01-003507751,379.8,
NBA01-003507782,398,
NBA01-003507828,069,Museums
NBA01-003507853,792,Theatre. Stagecraft. Performing arts
